date,open,high,low,close,volume,amount,outstanding_share,turnover
2024-11-07,7.7,7.78,7.41,7.72,40343711.0,306552354.0,308948044.0,0.13058412824908514
2024-11-08,7.74,7.87,7.35,7.46,24753957.0,186303279.0,308948044.0,0.08012336533841269
2024-11-11,7.49,7.94,7.49,7.62,17151800.0,131028458.0,308948044.0,0.0555167780897166
2024-11-12,7.56,7.84,7.46,7.7,14853451.0,113647162.0,308948044.0,0.04807750457873104
2024-11-13,7.63,7.8,7.33,7.57,9362300.0,70916510.0,308948044.0,0.030303800855266138
2024-11-14,7.58,7.7,7.41,7.45,7644300.0,57625645.0,308948044.0,0.024742995297940776
2024-11-15,7.41,7.57,7.21,7.21,9218700.0,67865606.0,308948044.0,0.029838997783070607
2024-11-18,7.22,7.32,7.02,7.06,9101050.0,65221216.0,308948044.0,0.0294581894164703
2024-11-19,7.01,7.18,6.9,7.08,7959600.0,55861349.0,308948044.0,0.025763555246849208
2024-11-20,7.08,7.27,6.98,7.02,8111700.0,57333015.0,308948044.0,0.026255871035713696
2024-11-21,7.01,7.05,6.93,7.05,4656902.0,32614294.0,346448044.0,0.01344184815198437
2024-11-22,7.01,7.22,6.75,6.77,7484673.0,52225552.0,346448044.0,0.0216040272982462
2024-11-25,6.77,7.12,6.76,7.06,9482600.0,66170322.0,346448044.0,0.02737091510321819
2024-11-26,6.99,7.39,6.99,7.25,11152000.0,80668911.0,346448044.0,0.032189530849249075
2024-11-27,7.25,7.25,6.81,7.04,8484750.0,59115741.0,346448044.0,0.02449068524687644
2024-11-28,7.04,7.16,7.0,7.08,4843050.0,34360075.0,346448044.0,0.013979152383380176
2024-11-29,7.09,7.43,7.06,7.26,9582059.0,69708483.0,346448044.0,0.02765799711081642
2024-12-02,7.35,7.4,7.02,7.3,14107950.0,101478338.0,346448044.0,0.040721690436214444
2024-12-03,7.32,7.32,7.09,7.13,9786600.0,70054149.0,346448044.0,0.02824839155391508
2024-12-04,7.12,7.25,7.05,7.09,6145800.0,43843427.0,346448044.0,0.01773945648254259
2024-12-05,7.02,7.21,7.02,7.17,6157049.0,44013367.0,346448044.0,0.017771925997654068
2024-12-06,7.15,7.29,7.08,7.16,7418703.0,53143745.0,346448044.0,0.021413609135573587
2024-12-09,7.16,7.46,7.1,7.27,12372102.0,90497933.0,346448044.0,0.03571127681124966
2024-12-10,7.51,7.51,7.18,7.19,11255362.0,82573936.0,346448044.0,0.0324878786153574
2024-12-11,7.12,7.38,7.12,7.38,7498063.0,54529862.0,346448044.0,0.021642676672176564
2024-12-12,7.44,7.63,7.28,7.6,11914200.0,89003728.0,346448044.0,0.03438957213451608
2024-12-13,7.55,7.55,7.26,7.26,8818000.0,64962486.0,346448044.0,0.025452589941595976
2024-12-16,7.33,7.81,7.11,7.56,21109848.0,158586342.0,346448044.0,0.06093221874273304
2024-12-17,7.58,7.72,7.07,7.1,15533848.0,112818191.0,346448044.0,0.044837453318108504
2024-12-18,7.12,7.18,6.98,6.99,10535846.0,74269075.0,346448044.0,0.030411041951213903
2024-12-19,6.85,7.04,6.85,6.94,5454600.0,37853674.0,346448044.0,0.015744352131484396
2024-12-20,7.0,7.08,6.91,7.01,4577800.0,32066097.0,346448044.0,0.013213525315790208
2024-12-23,7.02,7.07,6.7,6.72,7998248.0,54845018.0,346448044.0,0.023086428509320724
2024-12-24,6.71,6.83,6.51,6.81,6759701.0,44983880.0,346448044.0,0.019511442240961244
2024-12-25,6.79,6.89,6.52,6.63,4770148.0,31825919.0,346448044.0,0.013768725448483121
2024-12-26,6.62,6.8,6.6,6.8,3144800.0,21185503.0,346448044.0,0.009077262967603882
2024-12-27,6.8,7.28,6.8,7.1,12363250.0,87563314.0,346448044.0,0.03568572608249449
2024-12-30,7.03,7.25,6.99,7.18,6553200.0,46676290.0,346448044.0,0.018915390383904145
2024-12-31,7.22,7.23,7.01,7.03,5703900.0,40595317.0,346448044.0,0.01646394054976971
2025-01-02,7.0,7.27,6.94,7.02,6821901.0,48456355.0,346448044.0,0.019690978541070936
2025-01-03,6.99,7.02,6.6,6.6,7935300.0,53622184.0,346448044.0,0.022904733155312603
2025-01-06,6.61,6.74,6.39,6.63,3807066.0,25114735.0,346448044.0,0.010988851188318442
2025-01-07,6.63,6.93,6.58,6.93,3199490.0,21530880.0,346448044.0,0.00923512213565853
2025-01-08,6.93,7.0,6.7,6.93,3861700.0,26524725.0,346448044.0,0.011146548715974277
2025-01-09,6.91,7.2,6.83,7.13,6012100.0,42760306.0,346448044.0,0.01735354003037754
2025-01-10,7.05,7.08,6.76,6.77,3985350.0,27600213.0,346448044.0,0.01150345648942385
2025-01-13,6.69,6.83,6.58,6.82,3044967.0,20435487.0,346448044.0,0.008789101433056438
2025-01-14,6.82,7.03,6.81,7.03,3855957.0,26768652.0,346448044.0,0.011129971915788909
2025-01-15,7.02,7.15,6.96,7.04,4483500.0,31659627.0,346448044.0,0.012941334429932588
2025-01-16,7.04,7.15,7.0,7.08,4200834.0,29752910.0,346448044.0,0.012125437198311906
2025-01-17,7.01,7.23,6.98,7.1,5081534.0,36213389.0,346448044.0,0.014667521113209113
2025-01-20,7.12,7.33,7.03,7.19,6518385.0,47183570.0,346448044.0,0.018814899125249498
2025-01-21,7.25,7.28,7.1,7.13,3904057.0,27908295.0,346448044.0,0.011268809472626146
2025-01-22,7.03,7.11,6.94,6.97,3634167.0,25446175.0,346448044.0,0.01048978934342028
2025-01-23,7.01,7.17,6.93,6.96,3862344.0,27229966.0,346448044.0,0.011148407580560623
2025-01-24,6.97,7.1,6.83,6.9,4763544.0,32994383.0,346448044.0,0.013749663427166008
2025-01-27,6.95,7.13,6.91,6.95,4630310.0,32535499.0,346448044.0,0.013365092054033937
